# csv2chart.title=Many Pie Sections
# csv2chart.chart=pie
#
Section,   Value
      A,   12000
      B,    7000
      C,    9000
      D,   12000
      E,    7000
      F,    9000
      G,   12000
      H,    7000
      I,    9000
      J,   12000
      K,    9000
      L,   12000
      M,    7000
      N,    9000
      O,   12000
      P,    7000
      Q,    5000
      R,    8000
      S,   11000
      T,    5000
      U,    8000
      V,   11000
      W,    5000
      X,    8000
      Y,   11000
      Y,    6000
